id,tipo,pais_en,pais
157849,Película,United Kingdom,Reino Unido
157849,Película,United States of America,Estados Unidos
285213,Película,South Korea,Corea del Sur
284276,Película,United States of America,Estados Unidos
511082,Película,Japan,Japón
259611,Película,United States of America,Estados Unidos
263132,Película,Hong Kong,Hong Kong
288158,Película,Canada,Canadá
288158,Película,United Kingdom,Reino Unido
288158,Película,United States of America,Estados Unidos
302666,Película,United States of America,Estados Unidos
126172,Película,United States of America,Estados Unidos
252178,Película,United Kingdom,Reino Unido
253376,Película,Spain,España
82657,Película,Japan,Japón
82657,Película,United States of America,Estados Unidos
254375,Película,Canada,Canadá
254375,Película,China,China
254375,Película,Germany,Alemania
254375,Película,South Africa,Sudáfrica
254375,Película,United Kingdom,Reino Unido
254375,Película,United States of America,Estados Unidos
286532,Película,United States of America,Estados Unidos
184098,Película,United States of America,Estados Unidos
265177,Película,Canada,Canadá
137321,Película,United States of America,Estados Unidos
164251,Película,United States of America,Estados Unidos
