id,tipo,genero
37786,Película,Romance
37645,Película,Drama
37645,Película,Crimen
37645,Película,Suspenso
41283,Película,Crimen
41283,Película,Drama
41283,Película,Acción y aventura
41283,Película,Suspenso
41436,Película,Terror
41436,Película,Misterio
37710,Película,Acción y aventura
37710,Película,Suspenso
37710,Película,Romance
41233,Película,Drama
41233,Película,Romance
44264,Película,Drama
44264,Película,Acción y aventura
44264,Película,Western
43539,Película,Romance
43539,Película,Drama
43539,Película,Suspenso
43539,Película,Crimen
37056,Película,Comedia
37056,Película,Drama
37056,Película,Romance
23048,Película,Ciencia ficción y fantasía
23048,Película,Comedia
23048,Película,Acción y aventura
40264,Película,Comedia
40264,Película,Ciencia ficción y fantasía
23172,Película,Acción y aventura
23172,Película,Comedia
23172,Película,Familiar
43209,Película,Acción y aventura
43209,Película,Historia y bélico
50727,Película,Romance
50727,Película,Drama
50727,Película,Historia y bélico
50727,Película,Comedia
47533,Película,Misterio
47533,Película,Ciencia ficción y fantasía
47533,Película,Comedia
47533,Película,Acción y aventura
25602,Película,Acción y aventura
25602,Película,Crimen
25602,Película,Drama
25602,Película,Suspenso
107748,Película,Crimen
107748,Película,Drama
34134,Película,Animación
34134,Película,Familiar
34134,Película,Ciencia ficción y fantasía
23023,Película,Comedia
23023,Película,Familiar
23023,Película,Ciencia ficción y fantasía
41216,Película,Animación
41216,Película,Acción y aventura
41216,Película,Familiar
41216,Película,Ciencia ficción y fantasía
27579,Película,Crimen
27579,Película,Drama
27579,Película,Suspenso
38199,Película,Drama
38199,Película,Suspenso
49009,Película,Drama
49009,Película,Acción y aventura
49009,Película,Historia y bélico
23631,Película,Acción y aventura
23631,Película,Comedia
23631,Película,Suspenso
25642,Película,Acción y aventura
25642,Película,Película para TV
25642,Película,Ciencia ficción y fantasía
26388,Película,Drama
26388,Película,Suspenso
26388,Película,Misterio
43939,Película,Música
43939,Película,Comedia
43939,Película,Drama
63319,Película,Drama
37950,Película,Drama
37950,Película,Romance
42684,Película,Ciencia ficción y fantasía
42684,Película,Acción y aventura
42684,Película,Suspenso
63455,Película,Drama
63455,Película,Romance
63455,Película,Suspenso
63455,Película,Terror
28211,Película,Drama
28211,Película,Suspenso
28211,Película,Misterio
13477,Película,Comedia
13477,Película,Ciencia ficción y fantasía
13477,Película,Romance
47626,Película,Animación
47626,Película,Ciencia ficción y fantasía
47626,Película,Familiar
47626,Película,Acción y aventura
47626,Película,Comedia
47626,Película,Película para TV
46146,Película,Ciencia ficción y fantasía
46146,Película,Terror
65496,Película,Drama
19901,Película,Acción y aventura
19901,Película,Ciencia ficción y fantasía
42188,Película,Drama
42188,Película,Romance
42188,Película,Ciencia ficción y fantasía
39451,Película,Comedia
39451,Película,Romance
27573,Película,Acción y aventura
27573,Película,Comedia
27573,Película,Romance
11439,Película,Suspenso
11439,Película,Misterio
41402,Película,Drama
41402,Película,Terror
41402,Película,Misterio
59429,Película,Terror
59429,Película,Suspenso
42941,Película,Terror
42941,Película,Suspenso
60534,Película,Crimen
60534,Película,Suspenso
60534,Película,Drama
46261,Película,Ciencia ficción y fantasía
46261,Película,Terror
46261,Película,Suspenso
45317,Película,Drama
30675,Película,Ciencia ficción y fantasía
30675,Película,Animación
30675,Película,Acción y aventura
73245,Película,Acción y aventura
73245,Película,Animación
73245,Película,Ciencia ficción y fantasía
29427,Película,Misterio
29427,Película,Terror
29427,Película,Acción y aventura
23759,Película,Acción y aventura
23759,Película,Drama
42297,Película,Drama
42297,Película,Romance
55241,Película,Ciencia ficción y fantasía
55241,Película,Acción y aventura
55241,Película,Película para TV
34803,Película,Comedia
33909,Película,Drama
33909,Película,Crimen
20533,Película,Acción y aventura
20533,Película,Western
20533,Película,Drama
20533,Película,Ciencia ficción y fantasía
20533,Película,Suspenso
51200,Película,Historia y bélico
399897,Película,Suspenso
399897,Película,Drama
32856,Película,Comedia
32856,Película,Romance
38745,Película,Familiar
38745,Película,Comedia
38745,Película,Acción y aventura
38745,Película,Ciencia ficción y fantasía
12201,Película,Crimen
12201,Película,Drama
12201,Película,Misterio
12201,Película,Suspenso
51736,Película,Romance
51736,Película,Drama
34813,Película,Acción y aventura
34813,Película,Crimen
34813,Película,Misterio
34813,Película,Suspenso
88212,Película,Animación
88212,Película,Familiar
88212,Película,Ciencia ficción y fantasía
22971,Película,Drama
22971,Película,Romance
22971,Película,Historia y bélico
40662,Película,Misterio
40662,Película,Crimen
40662,Película,Animación
38408,Película,Comedia
38408,Película,Romance
38408,Película,Drama
111332,Película,Documental
42949,Película,Animación
42949,Película,Acción y aventura
42949,Película,Ciencia ficción y fantasía
42949,Película,Familiar
54186,Película,Drama
54186,Película,Suspenso
54186,Película,Misterio
46304,Película,Acción y aventura
46304,Película,Ciencia ficción y fantasía
46304,Película,Animación
46304,Película,Drama
43641,Película,Animación
43641,Película,Acción y aventura
31967,Película,Acción y aventura
31967,Película,Animación
31967,Película,Terror
51533,Película,Acción y aventura
51533,Película,Comedia
32823,Película,Acción y aventura
32823,Película,Comedia
32823,Película,Música
58496,Película,Documental
23742,Película,Acción y aventura
23742,Película,Comedia
23742,Película,Crimen
97375,Película,Animación
97375,Película,Crimen
97375,Película,Misterio
97375,Película,Acción y aventura
45752,Película,Animación
45752,Película,Comedia
45752,Película,Familiar
45752,Película,Misterio
43549,Película,Suspenso
43549,Película,Drama
51170,Película,Acción y aventura
51170,Película,Animación
51170,Película,Familiar
51170,Película,Comedia
183443,Película,Familiar
183443,Película,Animación
183443,Película,Ciencia ficción y fantasía
42888,Película,Comedia
42888,Película,Drama
42888,Película,Romance
39957,Película,Drama
39957,Película,Terror
39957,Película,Suspenso
58857,Película,Acción y aventura
58857,Película,Drama
39486,Película,Drama
44603,Película,Drama
44603,Película,Ciencia ficción y fantasía
43930,Película,Acción y aventura
43930,Película,Drama
45162,Película,Ciencia ficción y fantasía
45162,Película,Acción y aventura
45162,Película,Animación
35558,Película,Romance
35558,Película,Comedia
35558,Película,Película para TV
35558,Película,Música
37821,Película,Acción y aventura
37821,Película,Comedia
37821,Película,Suspenso
37821,Película,Romance
59421,Película,Suspenso
59421,Película,Crimen
59421,Película,Drama
59421,Película,Terror
52274,Película,Terror
52274,Película,Suspenso
16290,Película,Comedia
16290,Película,Documental
16290,Película,Acción y aventura
34751,Película,Familiar
34751,Película,Acción y aventura
34751,Película,Drama
47407,Película,Comedia
41515,Película,Comedia
41515,Película,Familiar
41515,Película,Animación
41515,Película,Acción y aventura
49953,Película,Animación
49953,Película,Familiar
36865,Película,Animación
36865,Película,Comedia
36865,Película,Ciencia ficción y fantasía
36865,Película,Misterio
36865,Película,Drama
35056,Película,Comedia
35056,Película,Acción y aventura
103450,Película,Drama
44040,Película,Terror
44040,Película,Misterio
44040,Película,Suspenso
41180,Película,Drama
41180,Película,Película para TV
72013,Película,Animación
72013,Película,Ciencia ficción y fantasía
34806,Película,Comedia
34806,Película,Romance
50087,Película,Familiar
50087,Película,Animación
50087,Película,Acción y aventura
50087,Película,Ciencia ficción y fantasía
44945,Película,Crimen
44945,Película,Drama
44945,Película,Suspenso
37757,Película,Documental
46332,Película,Drama
46332,Película,Historia y bélico
45657,Película,Terror
45657,Película,Misterio
45657,Película,Suspenso
43956,Película,Animación
43956,Película,Comedia
43956,Película,Misterio
43956,Película,Familiar
50542,Película,Drama
50542,Película,Romance
39013,Película,Drama
39013,Película,Misterio
43933,Película,Drama
43933,Película,Suspenso
43933,Película,Ciencia ficción y fantasía
45284,Película,Acción y aventura
45284,Película,Crimen
45284,Película,Suspenso
44092,Película,Acción y aventura
49852,Película,Música
49852,Película,Ciencia ficción y fantasía
49852,Película,Familiar
49852,Película,Acción y aventura
45132,Película,Comedia
45132,Película,Acción y aventura
45132,Película,Drama
43919,Película,Terror
43919,Película,Comedia
43919,Película,Suspenso
63700,Película,Comedia
63700,Película,Acción y aventura
63700,Película,Ciencia ficción y fantasía
63700,Película,Película para TV
51256,Película,Ciencia ficción y fantasía
51256,Película,Animación
51256,Película,Comedia
51256,Película,Familiar
39681,Película,Drama
39681,Película,Terror
39681,Película,Suspenso
38579,Película,Familiar
38579,Película,Comedia
27585,Película,Drama
44639,Película,Documental
44639,Película,Crimen
26390,Película,Crimen
26390,Película,Drama
26390,Película,Suspenso
89636,Película,Acción y aventura
89636,Película,Animación
22972,Película,Historia y bélico
22972,Película,Acción y aventura
22972,Película,Drama
22972,Película,Suspenso
50037,Película,Ciencia ficción y fantasía
50037,Película,Terror
50037,Película,Misterio
33602,Película,Drama
33602,Película,Historia y bélico
43552,Película,Misterio
43552,Película,Terror
43552,Película,Suspenso
56743,Película,Drama
56743,Película,Romance
56832,Película,Terror
56832,Película,Acción y aventura
56832,Película,Ciencia ficción y fantasía
39691,Película,Familiar
39691,Película,Acción y aventura
39691,Película,Comedia
39691,Película,Ciencia ficción y fantasía
39691,Película,Animación
41210,Película,Comedia
41210,Película,Romance
41210,Película,Drama
50388,Película,Ciencia ficción y fantasía
50388,Película,Animación
12819,Película,Animación
12819,Película,Familiar
12819,Película,Comedia
12819,Película,Acción y aventura
12819,Película,Romance
38357,Película,Drama
38357,Película,Comedia
38357,Película,Romance
49787,Película,Drama
49787,Película,Terror
49787,Película,Suspenso
30061,Película,Acción y aventura
30061,Película,Animación
30061,Película,Ciencia ficción y fantasía
46420,Película,Terror
41215,Película,Drama
41215,Película,Historia y bélico
41215,Película,Terror
42194,Película,Crimen
42194,Película,Drama
42194,Película,Acción y aventura
42194,Película,Suspenso
42194,Película,Ciencia ficción y fantasía
38363,Película,Drama
38363,Película,Suspenso
86184,Película,Acción y aventura
86184,Película,Familiar
86184,Película,Animación
86184,Película,Ciencia ficción y fantasía
43923,Película,Comedia
43923,Película,Drama
183392,Película,Documental
37414,Película,Crimen
37414,Película,Drama
37414,Película,Suspenso
52208,Película,Suspenso
52208,Película,Acción y aventura
52208,Película,Comedia
48838,Película,Drama
48838,Película,Crimen
35690,Película,Drama
35690,Película,Familiar
35690,Película,Romance
45958,Película,Drama
37034,Película,Acción y aventura
37034,Película,Ciencia ficción y fantasía
54551,Película,Animación
54551,Película,Familiar
54551,Película,Comedia
46503,Película,Misterio
46503,Película,Suspenso
46503,Película,Romance
50475,Película,Crimen
50475,Película,Suspenso
50475,Película,Misterio
60695,Película,Drama
60695,Película,Romance
60695,Película,Película para TV
50135,Película,Animación
50135,Película,Familiar
50135,Película,Comedia
52333,Película,Drama
117352,Película,Animación
117352,Película,Comedia
117352,Película,Familiar
40080,Película,Romance
40080,Película,Drama
44244,Película,Comedia
44244,Película,Música
44244,Película,Película para TV
8952,Película,Comedia
8952,Película,Crimen
8952,Película,Drama
8952,Película,Romance
101669,Película,Suspenso
101669,Película,Crimen
101669,Película,Terror
36956,Película,Drama
36956,Película,Romance
32206,Película,Ciencia ficción y fantasía
32206,Película,Película para TV
32206,Película,Misterio
32206,Película,Drama
38303,Película,Comedia
38303,Película,Romance
48395,Película,Ciencia ficción y fantasía
48395,Película,Terror
47909,Película,Drama
59468,Película,Acción y aventura
59468,Película,Comedia
59468,Película,Drama
38073,Película,Comedia
38073,Película,Drama
38073,Película,Romance
270413,Película,Acción y aventura
270413,Película,Animación
270413,Película,Comedia
278427,Película,Animación
278427,Película,Comedia
278427,Película,Ciencia ficción y fantasía
278427,Película,Película para TV
48034,Película,Comedia
48034,Película,Drama
37495,Película,Comedia
37495,Película,Crimen
37495,Película,Drama
47854,Película,Drama
47854,Película,Acción y aventura
47854,Película,Historia y bélico
47854,Película,Suspenso
38368,Película,Drama
38368,Película,Ciencia ficción y fantasía
44982,Película,Drama
44982,Película,Suspenso
38778,Película,Comedia
23830,Película,Drama
23830,Película,Romance
74658,Película,Animación
74658,Película,Familiar
57361,Película,Drama
57361,Película,Suspenso
57361,Película,Crimen
12685,Película,Acción y aventura
12685,Película,Ciencia ficción y fantasía
12685,Película,Terror
43263,Película,Drama
43263,Película,Suspenso
43263,Película,Crimen
43263,Película,Misterio
44147,Película,Acción y aventura
44147,Película,Comedia
33473,Película,Drama
33473,Película,Música
29920,Película,Drama
29920,Película,Suspenso
29920,Película,Crimen
41411,Película,Drama
41411,Película,Historia y bélico
37905,Película,Acción y aventura
37905,Película,Terror
37905,Película,Suspenso
41505,Película,Terror
41505,Película,Misterio
41505,Película,Suspenso
41110,Película,Drama
41110,Película,Romance
45202,Película,Suspenso
45202,Película,Drama
48186,Película,Familiar
48186,Película,Ciencia ficción y fantasía
48186,Película,Película para TV
48186,Película,Comedia
70000,Película,Terror
70000,Película,Comedia
47904,Película,Acción y aventura
47904,Película,Drama
47904,Película,Historia y bélico
43931,Película,Terror
43931,Película,Misterio
51072,Película,Comedia
51072,Película,Romance
37048,Película,Acción y aventura
37048,Película,Animación
37048,Película,Drama
37048,Película,Ciencia ficción y fantasía
37048,Película,Historia y bélico
52015,Película,Drama
52015,Película,Terror
52015,Película,Ciencia ficción y fantasía
33427,Película,Acción y aventura
33427,Película,Animación
33427,Película,Familiar
62989,Película,Ciencia ficción y fantasía
62989,Película,Acción y aventura
62989,Película,Suspenso
62989,Película,Película para TV
36950,Película,Drama
36950,Película,Película para TV
38843,Película,Comedia
38843,Película,Familiar
61722,Película,Suspenso
61722,Película,Terror
61722,Película,Misterio
57703,Película,Drama
57703,Película,Romance
38961,Película,Comedia
38961,Película,Romance
45556,Película,Ciencia ficción y fantasía
45556,Película,Acción y aventura
71172,Película,Acción y aventura
71172,Película,Comedia
71172,Película,Ciencia ficción y fantasía
71172,Película,Animación
148284,Película,Acción y aventura
148284,Película,Ciencia ficción y fantasía
34179,Película,Drama
34179,Película,Acción y aventura
34179,Película,Suspenso
44113,Película,Drama
44113,Película,Suspenso
44113,Película,Acción y aventura
44113,Película,Misterio
57059,Película,Suspenso
41479,Película,Comedia
41479,Película,Drama
44129,Película,Drama
59457,Película,Romance
59457,Película,Ciencia ficción y fantasía
46441,Película,Terror
46441,Película,Misterio
46441,Película,Ciencia ficción y fantasía
50393,Película,Animación
50393,Película,Familiar
50393,Película,Película para TV
50393,Película,Comedia
50393,Película,Ciencia ficción y fantasía
46713,Película,Acción y aventura
46713,Película,Suspenso
27583,Película,Comedia
27583,Película,Drama
27583,Película,Romance
35138,Película,Acción y aventura
35138,Película,Comedia
38093,Película,Romance
38093,Película,Comedia
39210,Película,Drama
66113,Película,Drama
66113,Película,Suspenso
50838,Película,Misterio
50838,Película,Suspenso
50838,Película,Terror
41592,Película,Música
41592,Película,Romance
41592,Película,Drama
63555,Película,Drama
63555,Película,Romance
11761,Película,Misterio
11761,Película,Suspenso
11761,Película,Drama
39781,Película,Comedia
39781,Película,Drama
52505,Película,Drama
46528,Película,Acción y aventura
46528,Película,Ciencia ficción y fantasía
46528,Película,Western
46528,Película,Suspenso
41201,Película,Animación
41201,Película,Drama
39522,Película,Acción y aventura
39522,Película,Ciencia ficción y fantasía
43920,Película,Drama
148608,Película,Animación
148608,Película,Comedia
41211,Película,Romance
41211,Película,Comedia
609197,Película,Animación
609197,Película,Acción y aventura
609197,Película,Comedia
44716,Película,Drama
27569,Película,Drama
109149,Película,Drama
31867,Película,Acción y aventura
31867,Película,Ciencia ficción y fantasía
31867,Película,Suspenso
31867,Película,Crimen
57695,Película,Acción y aventura
57695,Película,Drama
57695,Película,Historia y bélico
57695,Película,Romance
39452,Película,Documental
68523,Película,Terror
55890,Película,Crimen
55890,Película,Terror
46837,Película,Comedia
46837,Película,Ciencia ficción y fantasía
46837,Película,Misterio
39312,Película,Historia y bélico
39312,Película,Documental
48289,Película,Drama
48289,Película,Suspenso
40170,Película,Acción y aventura
40170,Película,Ciencia ficción y fantasía
54553,Película,Animación
54553,Película,Familiar
54553,Película,Comedia
44221,Película,Comedia
44221,Película,Romance
44037,Película,Terror
44037,Película,Acción y aventura
44037,Película,Ciencia ficción y fantasía
44037,Película,Suspenso
29426,Película,Terror
29426,Película,Comedia
29426,Película,Drama
29426,Película,Suspenso
301307,Película,Misterio
301307,Película,Suspenso
301307,Película,Crimen
51447,Película,Comedia
52454,Película,Acción y aventura
52454,Película,Terror
52454,Película,Ciencia ficción y fantasía
30618,Película,Suspenso
30618,Película,Acción y aventura
30618,Película,Drama
38031,Película,Comedia
38031,Película,Drama
38031,Película,Romance
52850,Película,Drama
52850,Película,Comedia
52850,Película,Historia y bélico
52850,Película,Familiar
315620,Película,Ciencia ficción y fantasía
315620,Película,Drama
43754,Película,Drama
43754,Película,Suspenso
43754,Película,Misterio
53457,Película,Drama
53457,Película,Historia y bélico
43434,Película,Crimen
43434,Película,Drama
43434,Película,Suspenso
43434,Película,Historia y bélico
65760,Película,Drama
65760,Película,Suspenso
65760,Película,Crimen
35691,Película,Drama
35691,Película,Familiar
44629,Película,Crimen
44629,Película,Drama
48844,Película,Familiar
48844,Película,Acción y aventura
48492,Película,Acción y aventura
48492,Película,Drama
48492,Película,Misterio
57448,Película,Documental
33555,Película,Ciencia ficción y fantasía
33555,Película,Terror
33555,Película,Acción y aventura
33555,Película,Misterio
47519,Película,Acción y aventura
47519,Película,Terror
47519,Película,Comedia
47519,Película,Ciencia ficción y fantasía
41382,Película,Comedia
52010,Película,Animación
52010,Película,Ciencia ficción y fantasía
49350,Película,Familiar
49350,Película,Comedia
49350,Película,Drama
49350,Película,Película para TV
43418,Película,Drama
43418,Película,Historia y bélico
39413,Película,Drama
39413,Película,Comedia
64246,Película,Animación
64246,Película,Drama
64246,Película,Familiar
52587,Película,Ciencia ficción y fantasía
52587,Película,Drama
52587,Película,Terror
52587,Película,Romance
50674,Película,Acción y aventura
50674,Película,Ciencia ficción y fantasía
50674,Película,Película para TV
36970,Película,Documental
36970,Película,Familiar
41556,Película,Drama
41556,Película,Romance
40016,Película,Romance
40016,Película,Terror
40016,Película,Suspenso
27584,Película,Comedia
27586,Película,Música
27586,Película,Drama
27586,Película,Historia y bélico
73529,Película,Suspenso
73529,Película,Animación
73529,Película,Acción y aventura
73529,Película,Drama
37708,Película,Crimen
37708,Película,Drama
37708,Película,Misterio
118301,Película,Ciencia ficción y fantasía
118301,Película,Animación
35169,Película,Familiar
35169,Película,Comedia
44734,Película,Animación
44734,Película,Misterio
44734,Película,Ciencia ficción y fantasía
39800,Película,Comedia
39800,Película,Drama
37737,Película,Drama
37737,Película,Acción y aventura
37737,Película,Romance
48871,Película,Ciencia ficción y fantasía
48871,Película,Terror
48871,Película,Acción y aventura
48871,Película,Suspenso
61984,Película,Ciencia ficción y fantasía
61984,Película,Acción y aventura
61984,Película,Drama
47518,Película,Terror
47518,Película,Suspenso
45569,Película,Acción y aventura
45569,Película,Suspenso
45569,Película,Western
55165,Película,Comedia
55165,Película,Drama
46138,Película,Comedia
46138,Película,Drama
46138,Película,Historia y bélico
148607,Película,Animación
148607,Película,Comedia
45662,Película,Animación
45662,Película,Familiar
38570,Película,Comedia
34583,Película,Suspenso
34583,Película,Terror
43922,Película,Drama
39356,Película,Drama
39356,Película,Comedia
48415,Película,Comedia
66195,Película,Comedia
66195,Película,Suspenso
66195,Película,Crimen
61005,Película,Drama
61005,Película,Familiar
61005,Película,Ciencia ficción y fantasía
33570,Película,Drama
34764,Película,Romance
34764,Película,Suspenso
44835,Película,Drama
50618,Película,Historia y bélico
50618,Película,Drama
50618,Película,Acción y aventura
46103,Película,Acción y aventura
56812,Película,Acción y aventura
56812,Película,Comedia
56812,Película,Drama
